From,To,Tolerance,Upper,Lower
80,120,js1,0.00125,-0.00125
120,180,js1,0.00175,-0.00175
180,250,js1,0.00225,-0.00225
250,315,js1,0.003,-0.003
315,400,js1,0.0035,-0.0035
400,500,js1,0.004,-0.004
500,630,js1,0.0045,-0.0045
630,800,js1,0.005,-0.005
800,1000,js1,0.0055,-0.0055
1000,1250,js1,0.0065,-0.0065
1250,1600,js1,0.0075,-0.0075
1600,2000,js1,0.009,-0.009
2000,2500,js1,0.011,-0.011
2500,3150,js1,0.013,-0.013
0,3,js10,0.02,-0.02
3,6,js10,0.024,-0.024
6,10,js10,0.029,-0.029
10,18,js10,0.035,-0.035
18,30,js10,0.042,-0.042
30,50,js10,0.05,-0.05
50,80,js10,0.06,-0.06
80,120,js10,0.07,-0.07
120,180,js10,0.08,-0.08
180,250,js10,0.0925,-0.0925
250,315,js10,0.105,-0.105
315,400,js10,0.115,-0.115
400,500,js10,0.125,-0.125
500,630,js10,0.14,-0.14
630,800,js10,0.16,-0.16
800,1000,js10,0.18,-0.18
1000,1250,js10,0.21,-0.21
1250,1600,js10,0.25,-0.25
1600,2000,js10,0.3,-0.3
2000,2500,js10,0.35,-0.35
2500,3150,js10,0.43,-0.43
0,3,js11,0.03,-0.03
3,6,js11,0.0375,-0.0375
6,10,js11,0.045,-0.045
10,18,js11,0.055,-0.055
18,30,js11,0.065,-0.065
30,50,js11,0.08,-0.08
50,80,js11,0.095,-0.095
80,120,js11,0.11,-0.11
120,180,js11,0.125,-0.125
180,250,js11,0.145,-0.145
250,315,js11,0.16,-0.16
315,400,js11,0.18,-0.18
400,500,js11,0.2,-0.2
500,630,js11,0.22,-0.22
630,800,js11,0.25,-0.25
800,1000,js11,0.28,-0.28
1000,1250,js11,0.33,-0.33
1250,1600,js11,0.39,-0.39
1600,2000,js11,0.46,-0.46
2000,2500,js11,0.55,-0.55
2500,3150,js11,0.675,-0.675
0,3,js12,0.05,-0.05
3,6,js12,0.06,-0.06
6,10,js12,0.075,-0.075
10,18,js12,0.09,-0.09
18,30,js12,0.105,-0.105
30,50,js12,0.125,-0.125
50,80,js12,0.15,-0.15
80,120,js12,0.175,-0.175
120,180,js12,0.2,-0.2
180,250,js12,0.23,-0.23
250,315,js12,0.26,-0.26
315,400,js12,0.285,-0.285
400,500,js12,0.315,-0.315
500,630,js12,0.35,-0.35
630,800,js12,0.4,-0.4
800,1000,js12,0.45,-0.45
1000,1250,js12,0.525,-0.525
1250,1600,js12,0.625,-0.625
1600,2000,js12,0.75,-0.75
2000,2500,js12,0.875,-0.875
2500,3150,js12,1.05,-1.05
0,3,js13,0.07,-0.07
3,6,js13,0.09,-0.09
6,10,js13,0.11,-0.11
10,18,js13,0.135,-0.135
18,30,js13,0.165,-0.165
30,50,js13,0.195,-0.195
50,80,js13,0.23,-0.23
80,120,js13,0.27,-0.27
120,180,js13,0.315,-0.315
180,250,js13,0.36,-0.36
250,315,js13,0.405,-0.405
315,400,js13,0.445,-0.445
400,500,js13,0.485,-0.485
500,630,js13,0.55,-0.55
630,800,js13,0.625,-0.625
800,1000,js13,0.7,-0.7
1000,1250,js13,0.825,-0.825
1250,1600,js13,0.975,-0.975
1600,2000,js13,1.15,-1.15
2000,2500,js13,1.4,-1.4
2500,3150,js13,1.65,-1.65
0,3,js14,0.125,-0.125
3,6,js14,0.15,-0.15
6,10,js14,0.18,-0.18
10,18,js14,0.215,-0.215
18,30,js14,0.26,-0.26
30,50,js14,0.31,-0.31
50,80,js14,0.37,-0.37
80,120,js14,0.435,-0.435
120,180,js14,0.5,-0.5
180,250,js14,0.575,-0.575
250,315,js14,0.65,-0.65
315,400,js14,0.7,-0.7
400,500,js14,0.775,-0.775
500,630,js14,0.875,-0.875
630,800,js14,1.0,-1.0
800,1000,js14,1.15,-1.15
1000,1250,js14,1.3,-1.3
1250,1600,js14,1.55,-1.55
1600,2000,js14,1.85,-1.85
2000,2500,js14,2.2,-2.2
2500,3150,js14,2.7,-2.7
0,3,js15,0.2,-0.2
3,6,js15,0.24,-0.24
6,10,js15,0.29,-0.29
10,18,js15,0.35,-0.35
18,30,js15,0.42,-0.42
30,50,js15,0.5,-0.5
50,80,js15,0.6,-0.6
80,120,js15,0.7,-0.7
120,180,js15,0.8,-0.8
180,250,js15,0.925,-0.925
250,315,js15,1.05,-1.05
315,400,js15,1.15,-1.15
400,500,js15,1.25,-1.25
500,630,js15,1.4,-1.4
630,800,js15,1.6,-1.6
800,1000,js15,1.8,-1.8
1000,1250,js15,2.1,-2.1
1250,1600,js15,2.5,-2.5
1600,2000,js15,3.0,-3.0
2000,2500,js15,3.5,-3.5
2500,3150,js15,4.3,-4.3
0,3,js16,0.3,-0.3
3,6,js16,0.375,-0.375
6,10,js16,0.45,-0.45
10,18,js16,0.55,-0.55
18,30,js16,0.65,-0.65
30,50,js16,0.8,-0.8
50,80,js16,0.95,-0.95
80,120,js16,1.1,-1.1
120,180,js16,1.25,-1.25
180,250,js16,1.45,-1.45
250,315,js16,1.6,-1.6
315,400,js16,1.8,-1.8
400,500,js16,2.0,-2.0
500,630,js16,2.2,-2.2
630,800,js16,2.5,-2.5
800,1000,js16,2.8,-2.8
1000,1250,js16,3.3,-3.3
1250,1600,js16,3.9,-3.9
1600,2000,js16,4.6,-4.6
2000,2500,js16,5.5,-5.5
2500,3150,js16,6.75,-6.75
3,6,js17,0.6,-0.6
6,10,js17,0.75,-0.75
10,18,js17,0.9,-0.9
18,30,js17,1.05,-1.05
30,50,js17,1.25,-1.25
50,80,js17,1.5,-1.5
80,120,js17,1.75,-1.75
120,180,js17,2.0,-2.0
180,250,js17,2.3,-2.3
250,315,js17,2.6,-2.6
315,400,js17,2.85,-2.85
400,500,js17,3.15,-3.15
500,630,js17,3.5,-3.5
630,800,js17,4.0,-4.0
800,1000,js17,4.5,-4.5
1000,1250,js17,5.25,-5.25
1250,1600,js17,6.25,-6.25
1600,2000,js17,7.5,-7.5
2000,2500,js17,8.75,-8.75
2500,3150,js17,10.5,-10.5
3,6,js18,0.9,-0.9
6,10,js18,1.1,-1.1
10,18,js18,1.35,-1.35
18,30,js18,1.65,-1.65
30,50,js18,1.95,-1.95
50,80,js18,2.3,-2.3
80,120,js18,2.7,-2.7
120,180,js18,3.15,-3.15
180,250,js18,3.6,-3.6
250,315,js18,4.05,-4.05
315,400,js18,4.45,-4.45
400,500,js18,4.85,-4.85
500,630,js18,5.5,-5.5
630,800,js18,6.25,-6.25
800,1000,js18,7.0,-7.0
1000,1250,js18,8.25,-8.25
1250,1600,js18,9.75,-9.75
1600,2000,js18,11.5,-11.5
2000,2500,js18,14.0,-14.0
2500,3150,js18,16.5,-16.5
0,3,js2,0.0006,-0.0006
3,6,js2,0.00075,-0.00075
6,10,js2,0.00075,-0.00075
10,18,js2,0.001,-0.001
18,30,js2,0.00125,-0.00125
30,50,js2,0.00125,-0.00125
50,80,js2,0.0015,-0.0015
80,120,js2,0.002,-0.002
120,180,js2,0.0025,-0.0025
180,250,js2,0.0035,-0.0035
250,315,js2,0.004,-0.004
315,400,js2,0.0045,-0.0045
400,500,js2,0.005,-0.005
500,630,js2,0.0055,-0.0055
630,800,js2,0.0065,-0.0065
800,1000,js2,0.0075,-0.0075
1000,1250,js2,0.009,-0.009
1250,1600,js2,0.0105,-0.0105
1600,2000,js2,0.0125,-0.0125
2000,2500,js2,0.015,-0.015
2500,3150,js2,0.018,-0.018
0,3,js3,0.001,-0.001
3,6,js3,0.00125,-0.00125
6,10,js3,0.00125,-0.00125
10,18,js3,0.0015,-0.0015
18,30,js3,0.002,-0.002
30,50,js3,0.002,-0.002
50,80,js3,0.0025,-0.0025
80,120,js3,0.003,-0.003
120,180,js3,0.004,-0.004
180,250,js3,0.005,-0.005
250,315,js3,0.006,-0.006
315,400,js3,0.0065,-0.0065
400,500,js3,0.0075,-0.0075
500,630,js3,0.008,-0.008
630,800,js3,0.009,-0.009
800,1000,js3,0.0105,-0.0105
1000,1250,js3,0.012,-0.012
1250,1600,js3,0.0145,-0.0145
1600,2000,js3,0.0175,-0.0175
2000,2500,js3,0.0205,-0.0205
2500,3150,js3,0.025,-0.025
0,3,js4,0.0015,-0.0015
3,6,js4,0.002,-0.002
6,10,js4,0.002,-0.002
10,18,js4,0.0025,-0.0025
18,30,js4,0.003,-0.003
30,50,js4,0.0035,-0.0035
50,80,js4,0.004,-0.004
80,120,js4,0.005,-0.005
120,180,js4,0.006,-0.006
180,250,js4,0.007,-0.007
250,315,js4,0.008,-0.008
315,400,js4,0.009,-0.009
400,500,js4,0.01,-0.01
500,630,js4,0.011,-0.011
630,800,js4,0.0125,-0.0125
800,1000,js4,0.014,-0.014
1000,1250,js4,0.0165,-0.0165
1250,1600,js4,0.0195,-0.0195
1600,2000,js4,0.023,-0.023
2000,2500,js4,0.0275,-0.0275
2500,3150,js4,0.034,-0.034
0,3,js5,0.002,-0.002
3,6,js5,0.0025,-0.0025
6,10,js5,0.003,-0.003
10,18,js5,0.004,-0.004
18,30,js5,0.0045,-0.0045
30,50,js5,0.0055,-0.0055
50,80,js5,0.0065,-0.0065
80,120,js5,0.0075,-0.0075
120,180,js5,0.009,-0.009
180,250,js5,0.01,-0.01
250,315,js5,0.0115,-0.0115
315,400,js5,0.0125,-0.0125
400,500,js5,0.0135,-0.0135
500,630,js5,0.016,-0.016
630,800,js5,0.018,-0.018
800,1000,js5,0.02,-0.02
1000,1250,js5,0.0235,-0.0235
1250,1600,js5,0.0275,-0.0275
1600,2000,js5,0.0325,-0.0325
2000,2500,js5,0.039,-0.039
2500,3150,js5,0.048,-0.048
0,3,js6,0.003,-0.003
3,6,js6,0.004,-0.004
6,10,js6,0.0045,-0.0045
10,18,js6,0.0055,-0.0055
18,30,js6,0.0065,-0.0065
30,50,js6,0.008,-0.008
50,80,js6,0.0095,-0.0095
80,120,js6,0.011,-0.011
120,180,js6,0.0125,-0.0125
180,250,js6,0.0145,-0.0145
250,315,js6,0.016,-0.016
315,400,js6,0.018,-0.018
400,500,js6,0.02,-0.02
500,630,js6,0.022,-0.022
630,800,js6,0.025,-0.025
800,1000,js6,0.028,-0.028
1000,1250,js6,0.033,-0.033
1250,1600,js6,0.039,-0.039
1600,2000,js6,0.046,-0.046
2000,2500,js6,0.055,-0.055
2500,3150,js6,0.0675,-0.0675
0,3,js7,0.005,-0.005
3,6,js7,0.006,-0.006
6,10,js7,0.0075,-0.0075
10,18,js7,0.009,-0.009
18,30,js7,0.0105,-0.0105
30,50,js7,0.0125,-0.0125
50,80,js7,0.015,-0.015
80,120,js7,0.0175,-0.0175
120,180,js7,0.02,-0.02
180,250,js7,0.023,-0.023
250,315,js7,0.026,-0.026
315,400,js7,0.0285,-0.0285
400,500,js7,0.0315,-0.0315
500,630,js7,0.035,-0.035
630,800,js7,0.04,-0.04
800,1000,js7,0.045,-0.045
1000,1250,js7,0.0525,-0.0525
1250,1600,js7,0.0625,-0.0625
1600,2000,js7,0.075,-0.075
2000,2500,js7,0.0875,-0.0875
2500,3150,js7,0.105,-0.105
0,3,js8,0.007,-0.007
3,6,js8,0.009,-0.009
6,10,js8,0.011,-0.011
10,18,js8,0.0135,-0.0135
18,30,js8,0.0165,-0.0165
30,50,js8,0.0195,-0.0195
50,80,js8,0.023,-0.023
80,120,js8,0.027,-0.027
120,180,js8,0.0315,-0.0315
180,250,js8,0.036,-0.036
250,315,js8,0.0405,-0.0405
315,400,js8,0.0445,-0.0445
400,500,js8,0.0485,-0.0485
500,630,js8,0.055,-0.055
630,800,js8,0.0625,-0.0625
800,1000,js8,0.07,-0.07
1000,1250,js8,0.0825,-0.0825
1250,1600,js8,0.0975,-0.0975
1600,2000,js8,0.115,-0.115
2000,2500,js8,0.14,-0.14
2500,3150,js8,0.165,-0.165
0,3,js9,0.0125,-0.0125
3,6,js9,0.015,-0.015
6,10,js9,0.018,-0.018
10,18,js9,0.0215,-0.0215
18,30,js9,0.026,-0.026
30,50,js9,0.031,-0.031
50,80,js9,0.037,-0.037
80,120,js9,0.0435,-0.0435
120,180,js9,0.05,-0.05
180,250,js9,0.0575,-0.0575
250,315,js9,0.065,-0.065
315,400,js9,0.07,-0.07
400,500,js9,0.0775,-0.0775
500,630,js9,0.0875,-0.0875
630,800,js9,0.1,-0.1
800,1000,js9,0.115,-0.115
1000,1250,js9,0.13,-0.13
1250,1600,js9,0.155,-0.155
1600,2000,js9,0.185,-0.185
2000,2500,js9,0.22,-0.22
2500,3150,js9,0.27,-0.27
0,3,k10,0.04,0.0
3,6,k10,0.048,0.0
6,10,k10,0.058,0.0
10,18,k10,0.07,0.0
18,30,k10,0.084,0.0
30,50,k10,0.1,0.0
50,80,k10,0.12,0.0
80,120,k10,0.14,0.0
120,180,k10,0.16,0.0
180,250,k10,0.185,0.0
250,315,k10,0.21,0.0
315,400,k10,0.23,0.0
400,500,k10,0.25,0.0
500,630,k10,0.28,0.0
630,800,k10,0.32,0.0
800,1000,k10,0.36,0.0
1000,1250,k10,0.42,0.0
1250,1600,k10,0.5,0.0
1600,2000,k10,0.6,0.0
2000,2500,k10,0.7,0.0
2500,3150,k10,0.86,0.0
0,3,k11,0.06,0.0
3,6,k11,0.075,0.0
6,10,k11,0.09,0.0
10,18,k11,0.11,0.0
18,30,k11,0.13,0.0
30,50,k11,0.16,0.0
50,80,k11,0.19,0.0
80,120,k11,0.22,0.0
120,180,k11,0.25,0.0
180,250,k11,0.29,0.0
250,315,k11,0.32,0.0
315,400,k11,0.36,0.0
400,500,k11,0.4,0.0
500,630,k11,0.44,0.0
630,800,k11,0.5,0.0
800,1000,k11,0.56,0.0
1000,1250,k11,0.66,0.0
1250,1600,k11,0.78,0.0
1600,2000,k11,0.92,0.0
2000,2500,k11,1.1,0.0
2500,3150,k11,1.35,0.0
0,3,k12,0.1,0.0
3,6,k12,0.12,0.0
6,10,k12,0.15,0.0
10,18,k12,0.18,0.0
18,30,k12,0.21,0.0
30,50,k12,0.25,0.0
50,80,k12,0.3,0.0
80,120,k12,0.35,0.0
120,180,k12,0.4,0.0
180,250,k12,0.46,0.0
250,315,k12,0.52,0.0
315,400,k12,0.57,0.0
400,500,k12,0.63,0.0
500,630,k12,0.7,0.0
630,800,k12,0.8,0.0
800,1000,k12,0.9,0.0
1000,1250,k12,1.05,0.0
1250,1600,k12,1.25,0.0
1600,2000,k12,1.5,0.0
2000,2500,k12,1.75,0.0
2500,3150,k12,2.1,0.0
0,3,k13,0.14,0.0
3,6,k13,0.18,0.0
6,10,k13,0.22,0.0
10,18,k13,0.27,0.0
18,30,k13,0.33,0.0
30,50,k13,0.39,0.0
50,80,k13,0.46,0.0
80,120,k13,0.54,0.0
120,180,k13,0.63,0.0
180,250,k13,0.72,0.0
250,315,k13,0.81,0.0
315,400,k13,0.89,0.0
400,500,k13,0.97,0.0
500,630,k13,1.1,0.0
630,800,k13,1.25,0.0
800,1000,k13,1.4,0.0
1000,1250,k13,1.65,0.0
1250,1600,k13,1.95,0.0
1600,2000,k13,2.3,0.0
2000,2500,k13,2.8,0.0
2500,3150,k13,3.3,0.0
0,3,k3,0.002,0.0
3,6,k3,0.0025,0.0
6,10,k3,0.0025,0.0
10,18,k3,0.003,0.0
18,30,k3,0.004,0.0
30,50,k3,0.004,0.0
0,3,k4,0.003,0.0
3,6,k4,0.005,0.001
6,10,k4,0.005,0.001
10,18,k4,0.006,0.001
18,30,k4,0.008,0.002
30,50,k4,0.009,0.002
50,80,k4,0.01,0.002
80,120,k4,0.013,0.003
120,180,k4,0.015,0.003
180,250,k4,0.018,0.004
250,315,k4,0.02,0.004
315,400,k4,0.022,0.004
400,500,k4,0.025,0.005
0,3,k5,0.004,0.0
3,6,k5,0.006,0.001
6,10,k5,0.007,0.001
10,18,k5,0.009,0.001
18,30,k5,0.011,0.002
30,50,k5,0.013,0.002
50,80,k5,0.015,0.002
80,120,k5,0.018,0.003
120,180,k5,0.021,0.003
180,250,k5,0.024,0.004
250,315,k5,0.027,0.004
315,400,k5,0.029,0.004
400,500,k5,0.032,0.005
0,3,k6,0.006,0.0
3,6,k6,0.009,0.001
6,10,k6,0.01,0.001
10,18,k6,0.012,0.001
18,30,k6,0.015,0.002
30,50,k6,0.018,0.002
50,80,k6,0.021,0.002
80,120,k6,0.025,0.003
120,180,k6,0.028,0.003
180,250,k6,0.033,0.004
250,315,k6,0.036,0.004
315,400,k6,0.04,0.004
400,500,k6,0.045,0.005
500,630,k6,0.044,0.0
630,800,k6,0.05,0.0
800,1000,k6,0.056,0.0
1000,1250,k6,0.066,0.0
1250,1600,k6,0.078,0.0
1600,2000,k6,0.092,0.0
2000,2500,k6,0.11,0.0
2500,3150,k6,0.135,0.0
0,3,k7,0.01,0.0
3,6,k7,0.013,0.001
6,10,k7,0.016,0.001
10,18,k7,0.019,0.001
18,30,k7,0.023,0.002
30,50,k7,0.027,0.002
50,80,k7,0.032,0.002
80,120,k7,0.038,0.003
120,180,k7,0.043,0.003
180,250,k7,0.05,0.004
250,315,k7,0.056,0.004
315,400,k7,0.061,0.004
400,500,k7,0.068,0.005
500,630,k7,0.07,0.0
630,800,k7,0.08,0.0
800,1000,k7,0.09,0.0
1000,1250,k7,0.105,0.0
1250,1600,k7,0.125,0.0
1600,2000,k7,0.15,0.0
2000,2500,k7,0.175,0.0
2500,3150,k7,0.21,0.0
0,3,k8,0.014,0.0
3,6,k8,0.018,0.0
6,10,k8,0.022,0.0
10,18,k8,0.027,0.0
18,30,k8,0.033,0.0
30,50,k8,0.039,0.0
50,80,k8,0.046,0.0
80,120,k8,0.054,0.0
120,180,k8,0.063,0.0
180,250,k8,0.072,0.0
250,315,k8,0.081,0.0
315,400,k8,0.089,0.0
400,500,k8,0.097,0.0
500,630,k8,0.11,0.0
630,800,k8,0.125,0.0
800,1000,k8,0.14,0.0
1000,1250,k8,0.165,0.0
1250,1600,k8,0.195,0.0
1600,2000,k8,0.23,0.0
2000,2500,k8,0.28,0.0
2500,3150,k8,0.33,0.0
0,3,k9,0.025,0.0
3,6,k9,0.03,0.0
6,10,k9,0.036,0.0
10,18,k9,0.043,0.0
18,30,k9,0.052,0.0
30,50,k9,0.062,0.0
50,80,k9,0.074,0.0
80,120,k9,0.087,0.0
120,180,k9,0.1,0.0
180,250,k9,0.115,0.0
250,315,k9,0.13,0.0
315,400,k9,0.14,0.0
400,500,k9,0.155,0.0
500,630,k9,0.175,0.0
630,800,k9,0.2,0.0
800,1000,k9,0.23,0.0
1000,1250,k9,0.26,0.0
1250,1600,k9,0.31,0.0
1600,2000,k9,0.37,0.0
2000,2500,k9,0.44,0.0
2500,3150,k9,0.54,0.0
0,3,m3,0.004,0.002
3,6,m3,0.0065,0.004
6,10,m3,0.0085,0.006
10,18,m3,0.01,0.007
18,30,m3,0.012,0.008
30,50,m3,0.013,0.009
0,3,m4,0.005,0.002
3,6,m4,0.008,0.004
6,10,m4,0.01,0.006
10,18,m4,0.012,0.007
18,30,m4,0.014,0.008
30,50,m4,0.016,0.009
50,80,m4,0.019,0.011
80,120,m4,0.023,0.013
120,180,m4,0.027,0.015
180,250,m4,0.031,0.017
250,315,m4,0.036,0.02
315,400,m4,0.039,0.021
400,500,m4,0.043,0.023
0,3,m5,0.006,0.002
3,6,m5,0.009,0.004
6,10,m5,0.012,0.006
10,18,m5,0.015,0.007
18,30,m5,0.017,0.008
30,50,m5,0.02,0.009
50,80,m5,0.024,0.011
80,120,m5,0.028,0.013
120,180,m5,0.033,0.015
180,250,m5,0.037,0.017
250,315,m5,0.043,0.02
315,400,m5,0.046,0.021
400,500,m5,0.05,0.023
0,3,m6,0.008,0.002
3,6,m6,0.012,0.004
6,10,m6,0.015,0.006
10,18,m6,0.018,0.007
18,30,m6,0.021,0.008
30,50,m6,0.025,0.009
50,80,m6,0.03,0.011
80,120,m6,0.035,0.013
120,180,m6,0.04,0.015
180,250,m6,0.046,0.017
250,315,m6,0.052,0.02
315,400,m6,0.057,0.021
400,500,m6,0.063,0.023
500,630,m6,0.07,0.026
630,800,m6,0.08,0.03
800,1000,m6,0.09,0.034
1000,1250,m6,0.106,0.04
1250,1600,m6,0.126,0.048
1600,2000,m6,0.15,0.058
2000,2500,m6,0.178,0.068
2500,3150,m6,0.211,0.076
0,3,m7,0.012,0.002
3,6,m7,0.016,0.004
6,10,m7,0.021,0.006
10,18,m7,0.025,0.007
18,30,m7,0.029,0.008
30,50,m7,0.034,0.009
50,80,m7,0.041,0.011
80,120,m7,0.048,0.013
120,180,m7,0.055,0.015
180,250,m7,0.063,0.017
250,315,m7,0.072,0.02
315,400,m7,0.078,0.021
400,500,m7,0.086,0.023
500,630,m7,0.096,0.026
630,800,m7,0.11,0.03
800,1000,m7,0.124,0.034
1000,1250,m7,0.145,0.04
1250,1600,m7,0.173,0.048
1600,2000,m7,0.208,0.058
2000,2500,m7,0.243,0.068
2500,3150,m7,0.286,0.076
0,3,m8,0.016,0.002
3,6,m8,0.022,0.004
6,10,m8,0.028,0.006
10,18,m8,0.034,0.007
18,30,m8,0.041,0.008
30,50,m8,0.048,0.009
0,3,m9,0.027,0.002
3,6,m9,0.034,0.004
6,10,m9,0.042,0.006
10,18,m9,0.05,0.007
18,30,m9,0.06,0.008
30,50,m9,0.071,0.009
0,3,n3,0.006,0.004
3,6,n3,0.0105,0.008
6,10,n3,0.0125,0.01
10,18,n3,0.015,0.012
18,30,n3,0.019,0.015
30,50,n3,0.021,0.017
0,3,n4,0.007,0.004
3,6,n4,0.012,0.008
6,10,n4,0.014,0.01
10,18,n4,0.017,0.012
18,30,n4,0.021,0.015
30,50,n4,0.024,0.017
50,80,n4,0.028,0.02
80,120,n4,0.033,0.023
120,180,n4,0.039,0.027
180,250,n4,0.045,0.031
250,315,n4,0.05,0.034
315,400,n4,0.055,0.037
400,500,n4,0.06,0.04
0,3,n5,0.008,0.004
3,6,n5,0.013,0.008
6,10,n5,0.016,0.01
10,18,n5,0.02,0.012
18,30,n5,0.024,0.015
30,50,n5,0.028,0.017
50,80,n5,0.033,0.02
80,120,n5,0.038,0.023
120,180,n5,0.045,0.027
180,250,n5,0.051,0.031
250,315,n5,0.057,0.034
315,400,n5,0.062,0.037
400,500,n5,0.067,0.04
0,3,n6,0.01,0.004
3,6,n6,0.016,0.008
6,10,n6,0.019,0.01
10,18,n6,0.023,0.012
18,30,n6,0.028,0.015
30,50,n6,0.033,0.017
50,80,n6,0.039,0.02
80,120,n6,0.045,0.023
120,180,n6,0.052,0.027
180,250,n6,0.06,0.031
250,315,n6,0.066,0.034
315,400,n6,0.073,0.037
400,500,n6,0.08,0.04
500,630,n6,0.088,0.044
630,800,n6,0.1,0.05
800,1000,n6,0.112,0.056
1000,1250,n6,0.132,0.066
1250,1600,n6,0.156,0.078
1600,2000,n6,0.184,0.092
2000,2500,n6,0.22,0.11
2500,3150,n6,0.27,0.135
0,3,n7,0.014,0.004
3,6,n7,0.02,0.008
6,10,n7,0.025,0.01
10,18,n7,0.03,0.012
18,30,n7,0.036,0.015
30,50,n7,0.042,0.017
50,80,n7,0.05,0.02
80,120,n7,0.058,0.023
120,180,n7,0.067,0.027
180,250,n7,0.077,0.031
250,315,n7,0.086,0.034
315,400,n7,0.094,0.037
400,500,n7,0.103,0.04
500,630,n7,0.114,0.044
630,800,n7,0.13,0.05
800,1000,n7,0.146,0.056
1000,1250,n7,0.171,0.066
1250,1600,n7,0.203,0.078
1600,2000,n7,0.242,0.092
2000,2500,n7,0.285,0.11
2500,3150,n7,0.345,0.135
0,3,n8,0.018,0.004
3,6,n8,0.026,0.008
6,10,n8,0.032,0.01
10,18,n8,0.039,0.012
18,30,n8,0.048,0.015
30,50,n8,0.056,0.017
0,3,n9,0.029,0.004
3,6,n9,0.038,0.008
6,10,n9,0.046,0.01
10,18,n9,0.055,0.012
18,30,n9,0.067,0.015
30,50,n9,0.079,0.017
0,3,p10,0.046,0.006
3,6,p10,0.06,0.012
6,10,p10,0.073,0.015
10,18,p10,0.088,0.018
18,30,p10,0.106,0.022
30,50,p10,0.126,0.026
0,3,p3,0.008,0.006
3,6,p3,0.0145,0.012
6,10,p3,0.0175,0.015
10,18,p3,0.021,0.018
18,30,p3,0.026,0.022
30,50,p3,0.03,0.026
0,3,p4,0.009,0.006
3,6,p4,0.016,0.012
6,10,p4,0.019,0.015
10,18,p4,0.023,0.018
18,30,p4,0.028,0.022
30,50,p4,0.033,0.026
50,80,p4,0.04,0.032
80,120,p4,0.047,0.037
120,180,p4,0.055,0.043
180,250,p4,0.064,0.05
250,315,p4,0.072,0.056
315,400,p4,0.08,0.062
400,500,p4,0.088,0.068
0,3,p5,0.01,0.006
3,6,p5,0.017,0.012
6,10,p5,0.021,0.015
10,18,p5,0.026,0.018
18,30,p5,0.031,0.022
30,50,p5,0.037,0.026
50,80,p5,0.045,0.032
80,120,p5,0.052,0.037
120,180,p5,0.061,0.043
180,250,p5,0.07,0.05
250,315,p5,0.079,0.056
315,400,p5,0.087,0.062
400,500,p5,0.095,0.068
0,3,p6,0.012,0.006
3,6,p6,0.02,0.012
6,10,p6,0.024,0.015
10,18,p6,0.029,0.018
18,30,p6,0.035,0.022
30,50,p6,0.042,0.026
50,80,p6,0.051,0.032
80,120,p6,0.059,0.037
120,180,p6,0.068,0.043
180,250,p6,0.079,0.05
250,315,p6,0.088,0.056
315,400,p6,0.098,0.062
400,500,p6,0.108,0.068
500,630,p6,0.122,0.078
630,800,p6,0.138,0.088
800,1000,p6,0.156,0.1
1000,1250,p6,0.186,0.12
1250,1600,p6,0.218,0.14
1600,2000,p6,0.262,0.17
2000,2500,p6,0.305,0.195
2500,3150,p6,0.375,0.24
0,3,p7,0.016,0.006
3,6,p7,0.024,0.012
6,10,p7,0.03,0.015
10,18,p7,0.036,0.018
18,30,p7,0.043,0.022
30,50,p7,0.051,0.026
50,80,p7,0.062,0.032
80,120,p7,0.072,0.037
120,180,p7,0.083,0.043
180,250,p7,0.096,0.05
250,315,p7,0.108,0.056
315,400,p7,0.119,0.062
400,500,p7,0.131,0.068
500,630,p7,0.148,0.078
630,800,p7,0.168,0.088
800,1000,p7,0.19,0.1
1000,1250,p7,0.225,0.12
1250,1600,p7,0.265,0.14
1600,2000,p7,0.32,0.17
2000,2500,p7,0.37,0.195
2500,3150,p7,0.45,0.24
0,3,p8,0.02,0.006
3,6,p8,0.03,0.012
6,10,p8,0.037,0.015
10,18,p8,0.045,0.018
18,30,p8,0.055,0.022
30,50,p8,0.065,0.026
50,80,p8,0.078,0.032
80,120,p8,0.091,0.037
120,180,p8,0.106,0.043
180,250,p8,0.122,0.05
250,315,p8,0.137,0.056
315,400,p8,0.151,0.062
400,500,p8,0.165,0.068
500,630,p8,0.188,0.078
630,800,p8,0.213,0.088
800,1000,p8,0.24,0.1
1000,1250,p8,0.285,0.12
1250,1600,p8,0.335,0.14
1600,2000,p8,0.4,0.17
2000,2500,p8,0.475,0.195
2500,3150,p8,0.57,0.24
0,3,p9,0.031,0.006
3,6,p9,0.042,0.012
6,10,p9,0.051,0.015
10,18,p9,0.061,0.018
18,30,p9,0.074,0.022
30,50,p9,0.088,0.026
0,3,r10,0.05,0.01
3,6,r10,0.063,0.015
6,10,r10,0.077,0.019
10,18,r10,0.093,0.023
18,30,r10,0.112,0.028
30,50,r10,0.134,0.034
0,3,r3,0.012,0.01
3,6,r3,0.0175,0.015
6,10,r3,0.0215,0.019
10,18,r3,0.026,0.023
18,30,r3,0.032,0.028
30,50,r3,0.038,0.034
0,3,r4,0.013,0.01
3,6,r4,0.019,0.015
6,10,r4,0.023,0.019
10,18,r4,0.028,0.023
18,30,r4,0.034,0.028
30,50,r4,0.041,0.034
50,65,r4,0.049,0.041
65,80,r4,0.051,0.043
80,100,r4,0.061,0.051
100,120,r4,0.064,0.054
120,140,r4,0.075,0.063
